pantone,name,hex,rgb,skc,family,shade,needs_review
13-0633TPG,Chardonnay,#EBE39C,"235,227,156",1200,1,200,False
14-0636TPG,Muted Lime,#D5CD7E,"213,205,126",1270,1,270,False
13-0632TPG,Endive,#D7D182,"215,209,130",1260,1,260,False
15-0636TPG,Golden Green,#BBB167,"187,177,103",1360,1,360,False
16-0632TPG,Willow,#9D905A,"157,144,90",8460,8,460,False
17-0636TPG,Green Moss,#8A7F53,"138,127,83",8520,8,520,False
18-0627TPG,Fir Green,#6B5F3E,"107,95,62",8630,8,630,True
12-0626TPG,Lemon Grass,#D9D491,"217,212,145",1240,1,240,False
12-0633TPG,Canary Yellow,#DEDC80,"222,220,128",1220,1,220,False
14-0647TPG,Celery,#D0C456,"208,196,86",1300,1,300,False
15-0646TPG,Warm Olive,#C8B643,"200,182,67",1340,1,340,False
15-0643TPG,Cress Green,#BCAD48,"188,173,72",1370,1,370,False
16-0840TPG,Antique Moss,#BEA437,"190,164,55",1390,1,390,False
16-0639TPG,Golden Olive,#AC994C,"172,153,76",8430,8,430,False
15-0533TPG,Linden Green,#C5BF73,"197,191,115",1310,1,310,False
15-0543TPG,Apple Green,#BDBD49,"189,189,73",1330,1,330,False
15-0544TPG,Grenoble Green,#A5A728,"165,167,40",1400,1,400,False
16-0540TPG,Oasis,#A5A451,"165,164,81",1410,1,410,False
16-0543TPG,Golden Lime,#9C9A40,"156,154,64",1440,1,440,False
16-0545TPG,Split Pea,#A29F4B,"162,159,75",1420,1,420,False
16-0550TPG,Lentil Sprout,#AEA84E,"174,168,78",1390,1,390,False
15-0548TPG,Citronelle,#B6AC38,"182,172,56",1380,1,380,False
15-0542TPG,Pear Liqueur,#A4A02A,"164,160,42",1420,1,420,False
16-0541TPG,Green Envy,#A4963A,"164,150,58",1440,1,440,False
16-0640TPG,Avocado Oil,#A09040,"160,144,64",8460,8,460,False
16-0544TPG,Camping Gear,#9A933C,"154,147,60",1460,1,460,False
16-0634TPG,Evergreen Sprig,#90894C,"144,137,76",1490,1,490,False
18-0537TPG,Golden Cypress,#82853A,"130,133,58",1520,1,520,False
15-0538TPG,Green Oasis,#B5BB5C,"181,187,92",1340,1,340,False
16-0436TPG,Pickled Pepper,#A0A653,"160,166,83",1400,1,400,False
16-0532TPG,Moss,#9B9B5B,"155,155,91",1440,1,440,False
18-0540TPG,Lima Bean Green,#89923C,"137,146,60",1480,1,480,False
18-0530TPG,Going Green,#7F8545,"127,133,69",1520,1,520,False
17-0530TPG,Guacamole,#7D7F44,"125,127,68",1530,1,530,False
18-0538TPG,Woodbine,#82853E,"130,133,62",1520,1,520,False
13-0522TPG,Pale Green,#D0CF96,"208,207,150",1260,1,260,False
14-0434TPG,Green Banana,#B6BB71,"182,187,113",1330,1,330,False
15-0535TPG,Palm,#B1B160,"177,177,96",1360,1,360,False
16-0531TPG,Perfect Pear,#949049,"148,144,73",1470,1,470,False
17-0529TPG,Cardamom Seed,#7A7A40,"122,122,64",1550,1,550,False
18-0428TPG,Peat Moss,#717244,"113,114,68",1580,1,580,False
18-0529TPG,Sphagnum,#6C6F4E,"108,111,78",1590,1,590,False
14-0425TPG,Beechnut,#BDBE88,"189,190,136",1320,1,320,False
15-0326TPG,Tarragon,#A3B07D,"163,176,125",7370,7,370,False
17-0324TPG,Epsom,#829367,"130,147,103",7470,7,470,False
17-0330TPG,Turtle Green,#808956,"128,137,86",7500,7,500,False
18-0324TPG,Calliste Green,#7B8059,"123,128,89",1530,1,530,False
18-0332TPG,Grasshopper,#7C8851,"124,136,81",7510,7,510,False
18-0435TPG,Calla Green,#707647,"112,118,71",1570,1,570,False
13-0608TPG,Aloe Wash,#CFD2B2,"207,210,178",0250,0,250,False
14-0216TPG,Lint,#B7BE9A,"183,190,154",7320,7,320,False
16-0421TPG,Sage,#8F936F,"143,147,111",1460,1,460,False
17-0525TPG,Mosstone,#8B8D68,"139,141,104",1480,1,480,False
18-0525TPG,Iguana,#80865E,"128,134,94",1510,1,510,False
18-0228TPG,Pesto,#5F6945,"95,105,69",7620,7,620,False
